Close	Date	Sentiment_fin_V	Sentiment_fin_F2	Open
2724.870117	2019-02-04	-0.1365121806	-0.07932263815	2706.48999
2737.699951	2019-02-05	0.01470588235	-0.07352941176	2728.340088
2731.610107	2019-02-06	0.01492537313	-0.0447761194	2735.050049
2706.050049	2019-02-07	-0.04761904762	-0.2976190476	2717.530029
2707.879883	2019-02-08	-0.1842105263	-0.1052631579	2692.360107
2709.800049	2019-02-11	-0.08262753319	-0.2280922432	2712.399902
2744.72998	2019-02-12	0.1184210526	-0.1184210526	2722.610107
2753.030029	2019-02-13	0.1235955056	0.05617977528	2750.300049
2745.72998	2019-02-14	-0.01162790698	-0.1976744186	2743.5
2775.600098	2019-02-15	0.02666666667	-0.06666666667	2760.23999
2779.76001	2019-02-19	0.008029904905	-0.0735548048	2769.280029
2784.699951	2019-02-20	-0.1126760563	-0.1690140845	2779.050049
2774.879883	2019-02-21	-0.04938271605	-0.2345679012	2780.23999
2792.669922	2019-02-22	-0.05454545455	-0.09090909091	2780.669922
2796.110107	2019-02-25	-0.01304713805	-0.07563732564	2804.350098
2793.899902	2019-02-26	-0.1162790698	-0.06976744186	2792.360107
2792.379883	2019-02-27	0.03896103896	-0.05194805195	2787.5
2784.48999	2019-02-28	-0.0641025641	-0.1282051282	2788.110107
2803.689941	2019-03-01	0.01315789474	-0.1842105263	2798.219971
2792.810059	2019-03-04	-0.06512605042	-0.06512605042	2814.370117
2789.649902	2019-03-05	-0.06329113924	-0.164556962	2794.409912
2771.449951	2019-03-06	-0.1290322581	-0.1075268817	2790.27002
2748.929932	2019-03-07	0.06153846154	-0.1076923077	2766.530029
2743.070068	2019-03-08	0	-0.2545454545	2730.790039
2783.300049	2019-03-11	-0.06069094304	-0.1123828842	2747.610107
2791.52002	2019-03-12	-0.07407407407	-0.1111111111	2787.340088
2810.919922	2019-03-13	-0.0775862069	-0.1034482759	2799.780029
2808.47998	2019-03-14	-0.07476635514	-0.09345794393	2810.379883
2822.47998	2019-03-15	-0.09836065574	-0.131147541	2810.790039
2832.939941	2019-03-18	-0.1185041282	-0.110469228	2822.610107
2832.570068	2019-03-19	-0.1343283582	-0.1343283582	2840.76001
2824.22998	2019-03-20	-0.1176470588	-0.07058823529	2831.340088
2854.879883	2019-03-21	0.02666666667	-0.09333333333	2819.719971
2800.709961	2019-03-22	0	-0.0641025641	2844.52002
2798.360107	2019-03-25	-0.04985754986	-0.1442307692	2796.01001
2818.459961	2019-03-26	0	-0.05882352941	2812.659912
2805.370117	2019-03-27	-0.03947368421	-0.1578947368	2819.719971
2815.439941	2019-03-28	-0.07792207792	-0.1688311688	2809.399902
2834.399902	2019-03-29	0.05555555556	-0.08333333333	2828.27002
2867.189941	2019-04-01	-0.04645909646	-0.08797313797	2848.629883
2867.23999	2019-04-02	0.03947368421	-0.1578947368	2868.23999
2873.399902	2019-04-03	0.04347826087	-0.03260869565	2876.090088
2879.389893	2019-04-04	-0.1058823529	-0.07058823529	2873.98999
2892.73999	2019-04-05	-0.1408450704	0	2884.159912
2895.77002	2019-04-08	0.06648493109	-0.1425278072	2888.459961
2878.199951	2019-04-09	-0.0625	-0.125	2886.580078
2888.209961	2019-04-10	-0.09230769231	0.01538461538	2881.370117
2888.320068	2019-04-11	0.04761904762	-0.07142857143	2891.919922
2907.409912	2019-04-12	0.04651162791	-0.01162790698	2900.860107
2905.580078	2019-04-15	-0.05981913645	-0.1606615323	2908.320068
2907.060059	2019-04-16	0.1636363636	0.03636363636	2912.26001
2900.449951	2019-04-17	0.1041666667	0.04166666667	2916.040039
2905.030029	2019-04-18	0.09756097561	0.0487804878	2904.810059
2907.969971	2019-04-22	0.02309782609	-0.2938179348	2898.780029
2933.679932	2019-04-23	-0.02127659574	0.03191489362	2909.98999
